Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1706106112.598604,2454,0,1
2,Payment,1706106112.601066,855,0,1
2,Payment,1706106112.601925,1734,0,1
2,Payment,1706106112.603664,771,0,1
2,Payment,1706106112.604439,844,0,1
1,NewOrder,1706106112.605287,2114,0,1
2,Payment,1706106112.607405,1746,0,1
2,Payment,1706106112.609163,1818,0,1
2,Payment,1706106112.610987,1754,0,1
2,Payment,1706106112.612748,1747,0,1
1,NewOrder,1706106112.614501,2840,0,1
2,Payment,1706106112.617346,1768,0,1
5,StockLevel,1706106112.619119,987,0,1
2,Payment,1706106112.620109,882,0,1
1,NewOrder,1706106112.620996,3792,0,1
5,StockLevel,1706106112.624793,824,0,1
1,NewOrder,1706106112.625620,1642,0,1
1,NewOrder,1706106112.627266,3527,0,1
2,Payment,1706106112.630797,1108,0,1
3,OrderStatus,1706106112.631910,1132,0,1
1,NewOrder,1706106112.633047,2061,0,1
2,Payment,1706106112.635112,1631,0,1
2,Payment,1706106112.636747,1726,0,1
1,NewOrder,1706106112.638479,3165,0,1
3,OrderStatus,1706106112.641655,1462,0,1
1,NewOrder,1706106112.643127,2527,0,1
1,NewOrder,1706106112.645671,2839,0,1
1,NewOrder,1706106112.648515,3493,0,1
2,Payment,1706106112.652015,1750,0,1
1,NewOrder,1706106112.653770,2570,0,1
1,NewOrder,1706106112.656344,2479,0,1
1,NewOrder,1706106112.658827,1604,0,1
1,NewOrder,1706106112.660435,3534,0,1
1,NewOrder,1706106112.663973,2692,0,1
2,Payment,1706106112.666670,774,0,1
1,NewOrder,1706106112.667448,1856,0,1
1,NewOrder,1706106112.669309,3118,0,1
1,NewOrder,1706106112.672435,2408,0,1
1,NewOrder,1706106112.674852,3629,0,1
1,NewOrder,1706106112.678490,2077,0,1
2,Payment,1706106112.680573,1032,0,1
2,Payment,1706106112.681609,2314,0,1
2,Payment,1706106112.683929,1599,0,1
1,NewOrder,1706106112.685533,2337,0,1
1,NewOrder,1706106112.687874,3017,0,1
2,Payment,1706106112.690895,785,0,1
4,Delivery,1706106112.691685,5074,0,1
5,StockLevel,1706106112.696763,955,0,1
2,Payment,1706106112.697722,1616,0,1
1,NewOrder,1706106112.699352,3221,0,1
2,Payment,1706106112.702603,1692,0,1
1,NewOrder,1706106112.704300,2782,0,1
2,Payment,1706106112.707094,2630,0,1
4,Delivery,1706106112.709736,7329,0,1
2,Payment,1706106112.717087,1803,0,1
1,NewOrder,1706106112.718895,2206,0,1
1,NewOrder,1706106112.721106,2292,0,1
1,NewOrder,1706106112.723402,1716,0,1
5,StockLevel,1706106112.725122,832,0,1
1,NewOrder,1706106112.725957,2537,0,1
2,Payment,1706106112.728497,784,0,1
5,StockLevel,1706106112.729284,600,0,1
2,Payment,1706106112.729887,1616,0,1
1,NewOrder,1706106112.731506,1637,0,1
2,Payment,1706106112.733147,1624,0,1
2,Payment,1706106112.734774,783,0,1
1,NewOrder,1706106112.735560,2848,0,1
2,Payment,1706106112.738413,802,0,1
1,NewOrder,1706106112.739220,3294,0,1
2,Payment,1706106112.742523,850,0,1
3,OrderStatus,1706106112.743378,1129,0,1
1,NewOrder,1706106112.744511,1869,0,1
1,NewOrder,1706106112.746386,3846,0,1
2,Payment,1706106112.750237,1659,0,1
2,Payment,1706106112.751900,786,0,1
2,Payment,1706106112.752689,1723,0,1
1,NewOrder,1706106112.754417,2024,0,1
1,NewOrder,1706106112.756445,2261,0,1
1,NewOrder,1706106112.758709,2574,0,1
2,Payment,1706106112.761287,1658,0,1
1,NewOrder,1706106112.762949,3352,0,1
1,NewOrder,1706106112.766304,3053,0,1
2,Payment,1706106112.769361,789,0,1
1,NewOrder,1706106112.770154,2637,0,1
1,NewOrder,1706106112.772797,3359,0,1
2,Payment,1706106112.776164,1736,0,1
5,StockLevel,1706106112.777905,854,0,1
2,Payment,1706106112.778762,849,0,1
1,NewOrder,1706106112.779617,4072,0,1
2,Payment,1706106112.783694,834,0,1
1,NewOrder,1706106112.784532,2362,0,1
1,NewOrder,1706106112.786900,3208,0,1
1,NewOrder,1706106112.790114,2571,0,1
1,NewOrder,1706106112.792689,3493,0,1
5,StockLevel,1706106112.796186,772,0,1
5,StockLevel,1706106112.796960,702,0,1
4,Delivery,1706106112.797666,5186,0,1
1,NewOrder,1706106112.802856,3278,0,1
1,NewOrder,1706106112.806143,3331,0,1
2,Payment,1706106112.809482,959,0,1
1,NewOrder,1706106112.810447,2231,0,1
1,NewOrder,1706106112.812684,3161,0,1
3,OrderStatus,1706106112.815851,561,0,1
2,Payment,1706106112.816417,838,0,1
1,NewOrder,1706106112.817259,3306,0,1
2,Payment,1706106112.820569,820,0,1
3,OrderStatus,1706106112.821393,385,0,1
5,StockLevel,1706106112.821781,1414,0,1
3,OrderStatus,1706106112.823199,1168,0,1
2,Payment,1706106112.824371,1623,0,1
2,Payment,1706106112.825998,1597,0,1
1,NewOrder,1706106112.827598,2497,0,1
2,Payment,1706106112.830099,1640,0,1
3,OrderStatus,1706106112.831744,1094,0,1
2,Payment,1706106112.832843,1725,0,1
2,Payment,1706106112.834572,759,0,1
1,NewOrder,1706106112.835334,1673,0,1
2,Payment,1706106112.837011,778,0,1
2,Payment,1706106112.837792,779,0,1
1,NewOrder,1706106112.838576,2490,0,1
2,Payment,1706106112.841073,1806,0,1
1,NewOrder,1706106112.842885,3532,0,1
5,StockLevel,1706106112.846443,1384,0,1
5,StockLevel,1706106112.847833,1267,0,1
4,Delivery,1706106112.849106,5499,0,1
1,NewOrder,1706106112.854611,2100,0,1
2,Payment,1706106112.856714,1676,0,1
1,NewOrder,1706106112.858394,3009,0,1
2,Payment,1706106112.861407,914,0,1
1,NewOrder,1706106112.862325,3165,0,1
2,Payment,1706106112.865494,954,0,1
1,NewOrder,1706106112.866453,2840,0,1
2,Payment,1706106112.869298,2012,0,1
2,Payment,1706106112.871314,2323,0,1
2,Payment,1706106112.873644,886,0,1
1,NewOrder,1706106112.874536,2884,0,1
2,Payment,1706106112.877428,948,0,1
2,Payment,1706106112.878380,788,0,1
2,Payment,1706106112.879172,803,0,1
1,NewOrder,1706106112.879979,1937,0,1
1,NewOrder,1706106112.881923,1579,0,1
2,Payment,1706106112.883506,816,0,1
1,NewOrder,1706106112.884325,2075,0,1
1,NewOrder,1706106112.886404,1897,0,1
2,Payment,1706106112.888304,786,0,1
2,Payment,1706106112.889094,1749,0,1
2,Payment,1706106112.890847,1647,0,1
2,Payment,1706106112.892498,1560,0,1
2,Payment,1706106112.894062,776,0,1
1,NewOrder,1706106112.894842,2645,0,1
1,NewOrder,1706106112.897491,2797,0,1
1,NewOrder,1706106112.900291,2535,0,1
2,Payment,1706106112.902830,946,0,1
1,NewOrder,1706106112.903781,2494,0,1
4,Delivery,1706106112.906284,6245,0,1
2,Payment,1706106112.912539,2028,0,1
1,NewOrder,1706106112.914573,3324,0,1
2,Payment,1706106112.917903,870,0,1
1,NewOrder,1706106112.918777,3280,0,1
1,NewOrder,1706106112.922061,2310,0,1
2,Payment,1706106112.924374,1654,0,1
1,NewOrder,1706106112.926032,2957,0,1
1,NewOrder,1706106112.928993,2775,0,1
3,OrderStatus,1706106112.931772,438,0,1
