Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1706454331.557328,1657,0,1
1,NewOrder,1706454331.558993,3863,0,1
2,Payment,1706454331.562867,825,0,1
4,Delivery,1706454331.563699,6253,0,1
3,OrderStatus,1706454331.569968,393,0,1
1,NewOrder,1706454331.570370,3601,0,1
2,Payment,1706454331.573987,934,0,1
2,Payment,1706454331.574931,1652,0,1
2,Payment,1706454331.576591,1642,0,1
2,Payment,1706454331.578239,1624,0,1
5,StockLevel,1706454331.579871,829,0,1
1,NewOrder,1706454331.580706,3304,0,1
1,NewOrder,1706454331.584044,3588,0,1
3,OrderStatus,1706454331.587676,623,0,1
2,Payment,1706454331.588311,965,0,1
2,Payment,1706454331.589285,904,0,1
2,Payment,1706454331.590198,1764,0,1
2,Payment,1706454331.591970,1894,0,1
2,Payment,1706454331.593873,1722,0,1
1,NewOrder,1706454331.595603,3756,0,1
2,Payment,1706454331.599366,1884,0,1
1,NewOrder,1706454331.601258,2095,0,1
2,Payment,1706454331.603358,1633,0,1
4,Delivery,1706454331.604996,5262,0,1
1,NewOrder,1706454331.610265,3196,0,1
2,Payment,1706454331.613466,801,0,1
4,Delivery,1706454331.614272,5085,0,1
2,Payment,1706454331.619361,1697,0,1
2,Payment,1706454331.621063,1591,0,1
1,NewOrder,1706454331.622658,3684,0,1
1,NewOrder,1706454331.626346,1775,0,1
2,Payment,1706454331.628126,1659,0,1
2,Payment,1706454331.629790,1660,0,1
2,Payment,1706454331.631454,1606,0,1
1,NewOrder,1706454331.633064,2050,0,1
2,Payment,1706454331.635119,1660,0,1
5,StockLevel,1706454331.636784,813,0,1
2,Payment,1706454331.637601,1572,0,1
1,NewOrder,1706454331.639177,2962,0,1
2,Payment,1706454331.642143,1539,0,1
1,NewOrder,1706454331.643687,2507,0,1
2,Payment,1706454331.646199,1754,0,1
2,Payment,1706454331.647958,1602,0,1
4,Delivery,1706454331.649564,5246,0,1
2,Payment,1706454331.654818,1645,0,1
2,Payment,1706454331.656468,784,0,1
2,Payment,1706454331.657257,1575,0,1
2,Payment,1706454331.658836,1566,0,1
2,Payment,1706454331.660405,1574,0,1
1,NewOrder,1706454331.661984,3873,0,1
2,Payment,1706454331.665862,1666,0,1
2,Payment,1706454331.667534,836,0,1
2,Payment,1706454331.668373,776,0,1
1,NewOrder,1706454331.669153,2146,0,1
2,Payment,1706454331.671303,1675,0,1
2,Payment,1706454331.672983,1628,0,1
1,NewOrder,1706454331.674615,2703,0,1
2,Payment,1706454331.677324,874,0,1
2,Payment,1706454331.678202,789,0,1
4,Delivery,1706454331.678996,5358,0,1
1,NewOrder,1706454331.684357,3173,0,1
5,StockLevel,1706454331.687536,961,0,1
1,NewOrder,1706454331.688501,3281,0,1
1,NewOrder,1706454331.691787,1639,0,1
2,Payment,1706454331.693430,854,0,1
2,Payment,1706454331.694289,1650,0,1
2,Payment,1706454331.695943,1629,0,1
2,Payment,1706454331.697576,784,0,1
1,NewOrder,1706454331.698364,2686,0,1
4,Delivery,1706454331.701055,5267,0,1
2,Payment,1706454331.706327,757,0,1
3,OrderStatus,1706454331.707088,1214,0,1
2,Payment,1706454331.708309,1704,0,1
2,Payment,1706454331.710019,809,0,1
2,Payment,1706454331.710834,1683,0,1
3,OrderStatus,1706454331.712522,1208,0,1
2,Payment,1706454331.713735,1658,0,1
1,NewOrder,1706454331.715399,2728,0,1
1,NewOrder,1706454331.718132,2394,0,1
2,Payment,1706454331.720531,810,0,1
2,Payment,1706454331.721346,779,0,1
2,Payment,1706454331.722129,1585,0,1
1,NewOrder,1706454331.723719,1908,0,1
2,Payment,1706454331.725632,1710,0,1
5,StockLevel,1706454331.727347,1013,0,1
2,Payment,1706454331.728364,1710,0,1
2,Payment,1706454331.730079,794,0,1
1,NewOrder,1706454331.730877,2319,0,1
1,NewOrder,1706454331.733202,3176,0,1
1,NewOrder,1706454331.736383,2221,0,1
1,NewOrder,1706454331.738609,2865,0,1
1,NewOrder,1706454331.741479,1681,0,1
1,NewOrder,1706454331.743164,2640,0,1
1,NewOrder,1706454331.745808,2963,0,1
1,NewOrder,1706454331.748776,3691,0,1
2,Payment,1706454331.752472,1703,0,1
1,NewOrder,1706454331.754180,3291,0,1
1,NewOrder,1706454331.757476,3610,0,1
1,NewOrder,1706454331.761091,2682,0,1
2,Payment,1706454331.763778,1610,0,1
4,Delivery,1706454331.765393,5127,0,1
4,Delivery,1706454331.770526,5030,0,1
5,StockLevel,1706454331.775563,830,0,1
2,Payment,1706454331.776397,800,0,1
1,NewOrder,1706454331.777201,2224,0,1
2,Payment,1706454331.779430,1611,0,1
1,NewOrder,1706454331.781046,1930,0,1
5,StockLevel,1706454331.782981,886,0,1
1,NewOrder,1706454331.783870,2111,0,1
2,Payment,1706454331.785986,770,0,1
1,NewOrder,1706454331.786761,2706,0,1
1,NewOrder,1706454331.789471,2878,0,1
2,Payment,1706454331.792355,763,0,1
1,NewOrder,1706454331.793123,2952,0,1
1,NewOrder,1706454331.796079,3247,0,1
2,Payment,1706454331.799331,787,0,1
2,Payment,1706454331.800122,1662,0,1
2,Payment,1706454331.801789,759,0,1
2,Payment,1706454331.802553,1640,0,1
1,NewOrder,1706454331.804198,1651,0,1
2,Payment,1706454331.805854,1676,0,1
1,NewOrder,1706454331.807535,1869,0,1
1,NewOrder,1706454331.809409,2295,0,1
2,Payment,1706454331.811709,1671,0,1
3,OrderStatus,1706454331.813385,364,0,1
1,NewOrder,1706454331.813755,3335,0,1
2,Payment,1706454331.817095,1747,0,1
2,Payment,1706454331.818847,1586,0,1
4,Delivery,1706454331.820438,5406,0,1
2,Payment,1706454331.825849,1608,0,1
2,Payment,1706454331.827462,1621,0,1
2,Payment,1706454331.829088,769,0,1
1,NewOrder,1706454331.829861,3689,0,1
4,Delivery,1706454331.833556,5268,0,1
2,Payment,1706454331.838829,1582,0,1
1,NewOrder,1706454331.840415,2466,0,1
4,Delivery,1706454331.842886,5147,0,1
1,NewOrder,1706454331.848038,1975,0,1
2,Payment,1706454331.850018,1653,0,1
2,Payment,1706454331.851676,1624,0,1
1,NewOrder,1706454331.853305,2742,0,1
2,Payment,1706454331.856068,2319,0,1
2,Payment,1706454331.858393,874,0,1
2,Payment,1706454331.859272,990,0,1
2,Payment,1706454331.860267,2330,0,1
3,OrderStatus,1706454331.862602,1878,0,1
1,NewOrder,1706454331.864486,3050,0,1
2,Payment,1706454331.867542,883,0,1
1,NewOrder,1706454331.868429,4081,0,1
1,NewOrder,1706454331.872525,3009,0,1
1,NewOrder,1706454331.875539,2078,0,1
1,NewOrder,1706454331.877621,2232,0,1
1,NewOrder,1706454331.879857,1331,0,1
2,Payment,1706454331.881192,1721,0,1
1,NewOrder,1706454331.882917,2362,0,1
1,NewOrder,1706454331.885283,2670,0,1
1,NewOrder,1706454331.887957,2504,0,1
1,NewOrder,1706454331.890465,2885,0,1
2,Payment,1706454331.893355,1826,0,1
2,Payment,1706454331.895186,1656,0,1
1,NewOrder,1706454331.896847,2486,0,1
2,Payment,1706454331.899337,1627,0,1
3,OrderStatus,1706454331.900968,348,0,1
1,NewOrder,1706454331.901321,2791,0,1
1,NewOrder,1706454331.904115,2007,0,1
1,NewOrder,1706454331.906126,3249,0,1
5,StockLevel,1706454331.909380,768,0,1
1,NewOrder,1706454331.910150,2609,0,1
2,Payment,1706454331.912763,1841,0,1
2,Payment,1706454331.914607,1614,0,1
4,Delivery,1706454331.916225,5110,0,1
2,Payment,1706454331.921340,1637,0,1
2,Payment,1706454331.922980,1577,0,1
2,Payment,1706454331.924561,1680,0,1
2,Payment,1706454331.926245,2292,0,1
1,NewOrder,1706454331.928541,2490,0,1
4,Delivery,1706454331.931039,5848,0,1
1,NewOrder,1706454331.936898,2590,0,1
1,NewOrder,1706454331.939494,2991,0,1
1,NewOrder,1706454331.942489,1896,0,1
2,Payment,1706454331.944389,1026,0,1
1,NewOrder,1706454331.945419,2688,0,1
1,NewOrder,1706454331.948111,2291,0,1
1,NewOrder,1706454331.950404,2190,0,1
1,NewOrder,1706454331.952598,3127,0,1
5,StockLevel,1706454331.955729,742,0,1
1,NewOrder,1706454331.956473,1898,0,1
1,NewOrder,1706454331.958375,2916,0,1
4,Delivery,1706454331.961294,5217,0,1
2,Payment,1706454331.966515,1675,0,1
4,Delivery,1706454331.968194,5015,0,1
1,NewOrder,1706454331.973213,2778,0,1
1,NewOrder,1706454331.975997,2246,0,1
1,NewOrder,1706454331.978247,2921,0,1
2,Payment,1706454331.981172,1623,0,1
2,Payment,1706454331.982799,768,0,1
1,NewOrder,1706454331.983570,3327,0,1
1,NewOrder,1706454331.986901,3797,0,1
2,Payment,1706454331.990703,763,0,1
1,NewOrder,1706454331.991470,2110,0,1
2,Payment,1706454331.993584,1630,0,1
1,NewOrder,1706454331.995218,3065,0,1
5,StockLevel,1706454331.998287,780,0,1
4,Delivery,1706454331.999070,6772,0,1
1,NewOrder,1706454332.005847,2719,0,1
1,NewOrder,1706454332.008570,2194,0,1
2,Payment,1706454332.010768,1704,0,1
